time_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,accel_mag,gyro_mag,label
35681,-0.0070,-0.9815,-0.0404,-42.46,22.06,4.33,0.9823,48.04,0
35691,0.1020,-1.0526,-0.0567,-22.19,15.93,8.22,1.0590,28.52,0
35701,-0.1860,-1.0584,-0.0725,-16.87,-1.45,10.58,1.0770,19.97,0
35711,-0.0738,-0.9706,-0.1136,38.34,-7.12,13.92,0.9800,41.41,0
35721,0.0970,-0.9685,-0.0635,41.88,-6.75,12.83,0.9754,44.31,0
35731,0.2054,-0.9590,-0.0046,26.16,-6.60,7.32,0.9807,27.96,0
35741,0.2132,-1.0122,-0.0288,4.58,-7.86,2.93,1.0348,9.55,0
35751,0.1022,-1.0879,-0.1640,-29.20,-10.31,3.89,1.1049,31.21,0
35761,0.0224,-1.0493,-0.3041,-55.24,-30.84,12.87,1.0927,64.56,0
35771,-0.3159,-1.1089,-0.4378,-71.87,-67.50,22.37,1.2334,101.10,0
35781,-0.2729,-1.0368,-0.3211,-34.69,-109.77,29.18,1.1191,118.76,0
35791,-0.0248,-0.9928,-0.1593,-16.18,-125.09,29.93,1.0058,129.64,0
35801,0.0583,-1.0179,-0.0011,-4.32,-120.50,25.83,1.0196,123.31,0
35811,0.0505,-1.0439,0.0925,16.24,-101.75,23.86,1.0492,105.76,0
35821,0.0434,-1.0348,0.1267,32.03,-73.13,27.13,1.0434,84.32,0
35831,0.0156,-1.0024,0.0652,54.86,-47.86,29.92,1.0047,78.71,0
35841,0.0256,-0.9988,0.0069,79.05,-33.30,33.21,0.9992,91.98,0
35851,0.0084,-0.9982,-0.0057,101.82,-26.08,34.93,0.9983,110.76,0
35861,-0.0139,-0.9880,-0.0068,113.36,-24.26,35.22,0.9881,121.15,0
35871,-0.0418,-0.9886,0.0117,117.46,-23.23,36.35,0.9895,125.13,0
35881,-0.0024,-0.9251,0.0902,117.50,-19.39,34.36,0.9294,123.95,0
35891,0.0051,-1.0852,0.1082,115.56,-12.87,29.17,1.0906,119.88,0
35901,-0.0217,-0.9410,0.0721,113.31,9.15,37.68,0.9440,119.76,0
35911,-0.0455,-0.9240,0.0604,102.28,15.42,33.71,0.9270,108.79,0
35921,-0.0433,-0.9860,0.0632,86.63,18.25,28.65,0.9889,93.06,0
35931,-0.0548,-1.0096,0.0840,85.03,19.60,25.89,1.0145,91.02,0
35941,-0.0629,-0.9312,0.0669,88.57,18.76,23.54,0.9357,93.54,0
35951,-0.0902,-0.9130,0.1010,59.86,17.66,17.69,0.9230,64.87,0
35961,-0.0684,-0.9247,0.1322,29.41,18.10,12.07,0.9367,36.58,0
35971,-0.0388,-0.8945,0.1420,4.86,16.90,7.72,0.9065,19.20,0
35981,-0.0764,-0.9507,0.1596,-10.81,15.56,0.79,0.9670,18.96,0
35991,-0.1257,-0.9599,0.1201,-9.85,16.47,-3.74,0.9755,19.55,0
36001,-0.1229,-1.0026,0.1390,-8.71,19.75,-8.41,1.0196,23.16,0
36011,-0.1363,-1.0398,0.1528,-22.23,27.69,-15.86,1.0598,38.90,0
36021,-0.1373,-1.0440,0.1539,-37.43,33.24,-21.74,1.0641,54.58,0
36031,-0.1562,-1.0791,0.1564,-51.56,19.61,-30.05,1.1015,62.82,0
36041,-0.0658,-1.0659,0.1149,-66.48,-4.79,-40.21,1.0741,77.84,0
36051,0.0123,-1.0309,0.0874,-71.92,-19.28,-45.62,1.0347,87.32,0
36061,-0.0059,-0.9801,0.0718,-72.45,-22.53,-45.89,0.9828,88.67,0
36071,-0.0638,-0.9516,0.0567,-70.01,-20.84,-41.16,0.9554,83.84,0
36081,-0.0356,-0.9849,0.0381,-66.42,-17.01,-37.45,0.9863,78.13,0
36091,0.0232,-1.0205,0.0348,-62.44,0.72,-32.68,1.0213,70.48,0
36101,0.1032,-0.9926,0.0535,-38.99,7.95,-31.27,0.9994,50.61,0
36111,0.1135,-1.0176,0.0280,-33.98,8.82,-23.52,1.0243,42.25,0
36121,0.1067,-1.0241,-0.0041,-21.77,5.64,-17.00,1.0297,28.19,0
36131,0.0975,-1.0071,-0.0013,-16.79,5.23,-13.02,1.0118,21.88,0
36141,0.0638,-1.0275,-0.0083,-14.70,6.79,-7.68,1.0295,17.92,0
36151,0.0373,-1.0453,-0.0074,-4.42,9.59,-3.95,1.0460,11.27,0
36161,0.0062,-1.0409,-0.0081,6.20,13.01,-1.60,1.0410,14.50,0
36171,-0.0360,-1.0159,-0.0173,10.32,16.14,0.10,1.0167,19.15,0
36181,-0.0625,-1.0003,-0.0371,5.27,16.96,1.81,1.0029,17.85,0
36191,-0.0727,-0.9875,-0.0546,-3.45,13.45,6.34,0.9917,15.26,0
36201,-0.0794,-0.9775,-0.0444,-12.94,7.79,10.33,0.9817,18.30,0
36211,-0.0898,-0.9610,-0.0195,-18.38,3.88,13.16,0.9654,22.94,0
36221,-0.0967,-0.9508,-0.0167,-21.44,4.42,14.61,0.9559,26.32,0
36231,-0.0876,-1.0042,-0.0132,-22.09,8.51,12.37,1.0081,26.71,0
36241,-0.0563,-1.0371,-0.0073,-18.21,12.66,5.50,1.0387,22.85,0
36251,-0.0423,-1.0340,-0.0241,-15.20,14.57,1.16,1.0352,21.09,0
36261,-0.0344,-1.0516,-0.0291,-13.01,13.93,0.67,1.0525,19.07,0
36271,-0.0249,-1.0524,-0.0340,-12.58,12.36,1.06,1.0533,17.67,0
36281,-0.0484,-1.0185,-0.0421,-15.07,11.43,-1.28,1.0205,18.95,0
36291,-0.0479,-1.0052,-0.0357,-7.92,6.95,-3.55,1.0070,11.12,0
36301,-0.0496,-0.9885,-0.0263,-10.60,6.35,-5.40,0.9901,13.48,0
36311,-0.0423,-1.0047,-0.0192,-12.67,6.95,-7.20,1.0058,16.14,0
36321,-0.0271,-1.0085,-0.0168,-9.16,8.31,-8.21,1.0090,14.85,0
36331,-0.0176,-1.0158,-0.0090,-6.62,10.03,-7.81,1.0160,14.33,0
36341,-0.0042,-1.0250,-0.0208,-7.93,11.31,-6.70,1.0252,15.35,0
36351,0.0000,-1.0433,-0.0325,-6.98,11.65,-5.61,1.0438,14.69,0
