time_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,accel_mag,gyro_mag,label
4057926,-0.3129,0.9171,0.1531,0.40,0.46,-0.14,0.9810,0.63,0
4057936,-0.3126,0.9163,0.1531,0.49,0.48,-0.14,0.9801,0.70,0
4057946,-0.3120,0.9180,0.1521,0.70,0.51,-0.02,0.9814,0.86,0
4057956,-0.3126,0.9199,0.1524,0.60,0.51,-0.06,0.9834,0.79,0
4057966,-0.3133,0.9168,0.1534,0.40,0.49,-0.17,0.9809,0.66,0
4057976,-0.3143,0.9168,0.1546,0.50,0.49,-0.09,0.9814,0.70,0
4057986,-0.3127,0.9192,0.1526,0.73,0.53,-0.05,0.9828,0.90,0
4057996,-0.3126,0.9184,0.1518,0.60,0.52,-0.11,0.9820,0.80,0
4058006,-0.3122,0.9169,0.1532,0.44,0.54,-0.11,0.9807,0.70,0
4058016,-0.3134,0.9177,0.1525,0.56,0.48,-0.04,0.9816,0.74,0
4058026,-0.3121,0.9195,0.1514,0.67,0.52,-0.04,0.9828,0.84,0
4058036,-0.3120,0.9176,0.1524,0.50,0.46,-0.14,0.9810,0.70,0
4058046,-0.3134,0.9165,0.1534,0.45,0.45,-0.11,0.9806,0.64,0
4058056,-0.3128,0.9171,0.1521,0.65,0.51,-0.07,0.9809,0.83,0
4058066,-0.3132,0.9164,0.1521,0.66,0.53,-0.08,0.9803,0.84,0
4058076,-0.3132,0.9166,0.1539,0.49,0.51,-0.11,0.9808,0.71,0
4058086,-0.3129,0.9183,0.1526,0.71,0.53,-0.04,0.9821,0.89,0
4058096,-0.3118,0.9182,0.1520,0.59,0.51,-0.08,0.9816,0.78,0
4058106,-0.3126,0.9171,0.1532,0.38,0.46,-0.15,0.9809,0.62,0
4058116,-0.3121,0.9165,0.1537,0.59,0.49,-0.05,0.9803,0.77,0
4058126,-0.3130,0.9188,0.1524,0.67,0.46,-0.05,0.9826,0.81,0
4058136,-0.3131,0.9185,0.1524,0.50,0.47,-0.11,0.9823,0.70,0
4058146,-0.3131,0.9151,0.1536,0.46,0.49,-0.11,0.9793,0.68,0
4058156,-0.3125,0.9163,0.1528,0.61,0.50,-0.02,0.9801,0.79,0
4058166,-0.3124,0.9190,0.1521,0.66,0.47,-0.06,0.9825,0.81,0
4058176,-0.3128,0.9177,0.1517,0.45,0.48,-0.16,0.9814,0.67,0
4058186,-0.3140,0.9156,0.1535,0.43,0.49,-0.12,0.9800,0.66,0
4058196,-0.3128,0.9185,0.1522,0.67,0.49,-0.01,0.9821,0.83,0
4058206,-0.3126,0.9186,0.1503,0.65,0.47,-0.06,0.9819,0.80,0
4058216,-0.3141,0.9171,0.1529,0.42,0.52,-0.15,0.9814,0.68,0
4058226,-0.3149,0.9165,0.1531,0.53,0.47,-0.11,0.9811,0.71,0
4058236,-0.3125,0.9188,0.1523,0.69,0.46,-0.04,0.9823,0.83,0
4058246,-0.3116,0.9191,0.1519,0.53,0.49,-0.04,0.9823,0.73,0
4058256,-0.3137,0.9171,0.1535,0.40,0.46,-0.14,0.9813,0.63,0
4058266,-0.3117,0.9178,0.1517,0.57,0.53,-0.04,0.9811,0.78,0
4058276,-0.3126,0.9186,0.1528,0.56,0.52,-0.10,0.9823,0.77,0
4058286,-0.3136,0.9161,0.1537,0.46,0.47,-0.13,0.9804,0.67,0
