time_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,accel_mag,gyro_mag,label
536021,-0.1157,-0.9590,0.3136,0.61,0.54,-0.07,1.0156,0.82,0
536031,-0.1180,-0.9597,0.3143,0.67,0.59,-0.05,1.0167,0.89,0
536041,-0.1167,-0.9595,0.3148,0.61,0.58,-0.06,1.0166,0.84,0
536051,-0.1164,-0.9577,0.3170,0.59,0.53,-0.11,1.0155,0.80,0
536061,-0.1171,-0.9590,0.3153,0.60,0.58,-0.07,1.0162,0.84,0
536071,-0.1171,-0.9596,0.3147,0.67,0.58,-0.04,1.0167,0.89,0
536081,-0.1173,-0.9594,0.3143,0.59,0.56,-0.10,1.0163,0.82,0
536091,-0.1160,-0.9592,0.3162,0.60,0.54,-0.12,1.0166,0.81,0
536101,-0.1168,-0.9587,0.3163,0.59,0.55,-0.10,1.0163,0.81,0
536111,-0.1172,-0.9600,0.3161,0.60,0.57,-0.07,1.0175,0.83,0
536121,-0.1182,-0.9608,0.3149,0.59,0.56,-0.11,1.0180,0.82,0
536131,-0.1178,-0.9607,0.3159,0.56,0.54,-0.11,1.0181,0.79,0
536141,-0.1168,-0.9591,0.3156,0.54,0.52,-0.11,1.0164,0.76,0
536151,-0.1178,-0.9588,0.3159,0.62,0.57,-0.04,1.0164,0.84,0
536161,-0.1188,-0.9595,0.3168,0.64,0.59,-0.01,1.0174,0.87,0
536171,-0.1185,-0.9586,0.3151,0.59,0.56,-0.10,1.0160,0.82,0
536181,-0.1182,-0.9594,0.3149,0.59,0.56,-0.10,1.0166,0.82,0
536191,-0.1179,-0.9608,0.3152,0.59,0.54,-0.11,1.0180,0.81,0
536201,-0.1177,-0.9594,0.3164,0.62,0.53,-0.11,1.0171,0.82,0
536211,-0.1171,-0.9590,0.3164,0.60,0.51,-0.10,1.0166,0.79,0
536221,-0.1173,-0.9596,0.3150,0.60,0.55,-0.14,1.0167,0.83,0
536231,-0.1172,-0.9597,0.3139,0.60,0.54,-0.11,1.0165,0.82,0
536241,-0.1166,-0.9584,0.3134,0.63,0.54,-0.12,1.0151,0.84,0
536251,-0.1169,-0.9602,0.3151,0.61,0.50,-0.07,1.0173,0.79,0
536261,-0.1155,-0.9603,0.3162,0.55,0.53,-0.05,1.0176,0.77,0
536271,-0.1184,-0.9608,0.3158,0.59,0.58,-0.10,1.0183,0.83,0
536281,-0.1173,-0.9592,0.3143,0.57,0.57,-0.07,1.0162,0.81,0
536291,-0.1190,-0.9605,0.3143,0.62,0.56,-0.03,1.0177,0.84,0
536301,-0.1181,-0.9594,0.3160,0.60,0.48,-0.08,1.0170,0.78,0
536311,-0.1172,-0.9594,0.3160,0.60,0.53,-0.05,1.0169,0.80,0
536321,-0.1187,-0.9593,0.3162,0.58,0.57,-0.05,1.0170,0.81,0
536331,-0.1182,-0.9610,0.3158,0.59,0.56,-0.08,1.0185,0.81,0
536341,-0.1184,-0.9593,0.3152,0.60,0.58,-0.10,1.0167,0.83,0
536351,-0.1175,-0.9582,0.3153,0.64,0.58,-0.11,1.0155,0.87,0
536361,-0.1175,-0.9594,0.3168,0.65,0.55,-0.10,1.0172,0.86,0
536371,-0.1169,-0.9597,0.3167,0.56,0.52,-0.12,1.0173,0.77,0
536381,-0.1170,-0.9592,0.3140,0.52,0.55,-0.17,1.0160,0.77,0
536391,-0.1169,-0.9589,0.3132,0.53,0.53,-0.11,1.0155,0.75,0
536401,-0.1168,-0.9592,0.3143,0.61,0.56,-0.07,1.0161,0.83,0
536411,-0.1163,-0.9593,0.3148,0.60,0.55,-0.09,1.0163,0.82,0
536421,-0.1152,-0.9602,0.3158,0.60,0.55,-0.07,1.0174,0.82,0
536431,-0.1162,-0.9605,0.3160,0.59,0.56,-0.06,1.0178,0.81,0
536441,-0.1165,-0.9601,0.3145,0.57,0.54,-0.12,1.0169,0.80,0
536451,-0.1168,-0.9598,0.3132,0.62,0.60,-0.04,1.0163,0.86,0
536461,-0.1174,-0.9598,0.3141,0.70,0.60,-0.03,1.0166,0.92,0
536471,-0.1171,-0.9593,0.3172,0.67,0.54,-0.07,1.0172,0.86,0
536481,-0.1184,-0.9586,0.3175,0.67,0.54,0.01,1.0167,0.86,0
536491,-0.1192,-0.9583,0.3186,0.69,0.60,0.02,1.0169,0.92,0
536501,-0.1198,-0.9590,0.3178,0.61,0.62,-0.06,1.0173,0.87,0
536511,-0.1187,-0.9598,0.3161,0.53,0.55,-0.13,1.0175,0.78,0
536521,-0.1174,-0.9596,0.3158,0.53,0.53,-0.15,1.0170,0.76,0
536531,-0.1184,-0.9601,0.3165,0.58,0.53,-0.17,1.0178,0.80,0
536541,-0.1169,-0.9607,0.3166,0.57,0.53,-0.18,1.0183,0.79,0
536551,-0.1154,-0.9593,0.3137,0.49,0.53,-0.12,1.0159,0.73,0
536561,-0.1153,-0.9608,0.3122,0.60,0.54,-0.11,1.0169,0.81,0
536571,-0.1158,-0.9613,0.3139,0.66,0.52,-0.13,1.0178,0.85,0
536581,-0.1152,-0.9608,0.3154,0.67,0.57,-0.10,1.0178,0.89,0
536591,-0.1162,-0.9594,0.3148,0.64,0.55,-0.01,1.0164,0.84,0
536601,-0.1159,-0.9601,0.3154,0.63,0.55,-0.04,1.0172,0.84,0
536611,-0.1165,-0.9599,0.3161,0.60,0.59,-0.05,1.0173,0.84,0
536621,-0.1189,-0.9601,0.3162,0.68,0.60,-0.03,1.0178,0.91,0
536631,-0.1196,-0.9593,0.3156,0.64,0.55,-0.02,1.0170,0.84,0
536641,-0.1198,-0.9582,0.3163,0.65,0.54,0.04,1.0162,0.85,0
536651,-0.1193,-0.9587,0.3159,0.69,0.60,-0.03,1.0164,0.91,0
536661,-0.1194,-0.9596,0.3172,0.69,0.59,-0.04,1.0177,0.91,0
