time_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,accel_mag,gyro_mag,label
3195596,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195606,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195616,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195626,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195636,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195646,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195656,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195666,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195676,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195686,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195696,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195706,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195716,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195726,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195736,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195746,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195756,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195766,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195776,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195786,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195796,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195806,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195816,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195826,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195836,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195846,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195856,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195866,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195876,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195886,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195896,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195906,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195916,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
3195926,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0
