time_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,accel_mag,gyro_mag,label
3207318,0.0521,-0.4483,-0.8769,0.60,0.52,-0.12,0.9862,0.80,0
3207328,0.0522,-0.4490,-0.8768,0.57,0.50,-0.11,0.9865,0.76,0
3207338,0.0502,-0.4495,-0.8769,0.57,0.52,-0.11,0.9867,0.78,0
3207348,0.0510,-0.4487,-0.8764,0.56,0.51,-0.10,0.9859,0.76,0
3207358,0.0518,-0.4491,-0.8769,0.59,0.47,-0.08,0.9866,0.76,0
3207368,0.0518,-0.4491,-0.8768,0.59,0.47,-0.14,0.9864,0.77,0
3207378,0.0506,-0.4491,-0.8772,0.56,0.49,-0.10,0.9868,0.75,0
3207388,0.0518,-0.4498,-0.8764,0.52,0.46,-0.11,0.9864,0.70,0
3207398,0.0518,-0.4489,-0.8761,0.53,0.50,-0.12,0.9858,0.73,0
3207408,0.0529,-0.4492,-0.8760,0.53,0.50,-0.14,0.9858,0.74,0
3207418,0.0516,-0.4483,-0.8769,0.54,0.47,-0.10,0.9862,0.73,0
3207428,0.0518,-0.4491,-0.8772,0.53,0.54,-0.07,0.9869,0.76,0
3207438,0.0513,-0.4486,-0.8768,0.48,0.49,-0.13,0.9862,0.70,0
3207448,0.0515,-0.4490,-0.8766,0.51,0.50,-0.16,0.9863,0.73,0
3207458,0.0502,-0.4498,-0.8769,0.61,0.52,-0.11,0.9868,0.81,0
3207468,0.0506,-0.4502,-0.8759,0.61,0.48,-0.07,0.9861,0.78,0
3207478,0.0507,-0.4484,-0.8775,0.60,0.43,-0.13,0.9867,0.75,0
3207488,0.0513,-0.4488,-0.8770,0.56,0.50,-0.11,0.9865,0.76,0
3207498,0.0512,-0.4475,-0.8764,0.53,0.50,-0.10,0.9853,0.74,0
3207508,0.0516,-0.4490,-0.8776,0.53,0.52,-0.09,0.9871,0.74,0
3207518,0.0518,-0.4495,-0.8764,0.51,0.51,-0.11,0.9863,0.73,0
3207528,0.0512,-0.4497,-0.8765,0.60,0.49,-0.11,0.9864,0.79,0
3207538,0.0504,-0.4499,-0.8757,0.60,0.48,-0.12,0.9858,0.78,0
3207548,0.0518,-0.4494,-0.8768,0.61,0.46,-0.14,0.9866,0.78,0
3207558,0.0522,-0.4501,-0.8763,0.54,0.51,-0.14,0.9865,0.76,0
3207568,0.0511,-0.4495,-0.8764,0.49,0.50,-0.13,0.9863,0.71,0
3207578,0.0520,-0.4480,-0.8763,0.52,0.51,-0.06,0.9855,0.73,0
3207588,0.0520,-0.4486,-0.8769,0.53,0.51,-0.11,0.9863,0.75,0
3207598,0.0524,-0.4489,-0.8767,0.59,0.51,-0.11,0.9863,0.78,0
3207608,0.0518,-0.4482,-0.8763,0.60,0.46,-0.11,0.9856,0.77,0
3207618,0.0510,-0.4489,-0.8767,0.58,0.50,-0.16,0.9862,0.78,0
3207628,0.0509,-0.4491,-0.8766,0.55,0.49,-0.11,0.9862,0.75,0
3207638,0.0502,-0.4484,-0.8769,0.48,0.49,-0.11,0.9861,0.69,0
3207648,0.0514,-0.4493,-0.8775,0.53,0.51,-0.12,0.9872,0.75,0
3207658,0.0521,-0.4492,-0.8765,0.59,0.46,-0.11,0.9862,0.75,0
3207668,0.0517,-0.4485,-0.8771,0.59,0.47,-0.09,0.9864,0.76,0
3207678,0.0519,-0.4490,-0.8769,0.61,0.45,-0.13,0.9866,0.77,0
3207688,0.0505,-0.4478,-0.8761,0.53,0.47,-0.10,0.9853,0.72,0
3207698,0.0512,-0.4483,-0.8758,0.54,0.49,-0.12,0.9852,0.74,0
3207708,0.0509,-0.4487,-0.8771,0.59,0.48,-0.12,0.9865,0.77,0
3207718,0.0526,-0.4492,-0.8761,0.57,0.49,-0.11,0.9859,0.76,0
3207728,0.0516,-0.4489,-0.8766,0.60,0.50,-0.11,0.9863,0.78,0
3207738,0.0515,-0.4492,-0.8767,0.62,0.49,-0.11,0.9864,0.80,0
3207748,0.0515,-0.4486,-0.8758,0.53,0.46,-0.13,0.9853,0.72,0
3207758,0.0514,-0.4488,-0.8760,0.53,0.46,-0.11,0.9856,0.71,0
3207768,0.0516,-0.4491,-0.8771,0.54,0.46,-0.11,0.9868,0.72,0
3207778,0.0521,-0.4493,-0.8767,0.54,0.48,-0.11,0.9865,0.73,0
3207788,0.0515,-0.4490,-0.8765,0.58,0.48,-0.10,0.9861,0.76,0
3207798,0.0507,-0.4490,-0.8768,0.60,0.51,-0.10,0.9864,0.79,0
3207808,0.0507,-0.4503,-0.8767,0.57,0.46,-0.08,0.9869,0.74,0
3207818,0.0517,-0.4489,-0.8766,0.50,0.46,-0.12,0.9862,0.69,0
3207828,0.0504,-0.4495,-0.8766,0.50,0.47,-0.11,0.9864,0.70,0
3207838,0.0507,-0.4494,-0.8771,0.60,0.51,-0.10,0.9868,0.79,0
3207848,0.0502,-0.4486,-0.8771,0.61,0.50,-0.11,0.9864,0.80,0
3207858,0.0513,-0.4492,-0.8761,0.57,0.53,-0.11,0.9859,0.79,0
3207868,0.0526,-0.4490,-0.8757,0.53,0.50,-0.11,0.9855,0.74,0
3207878,0.0515,-0.4499,-0.8766,0.52,0.50,-0.13,0.9866,0.73,0
3207888,0.0518,-0.4486,-0.8769,0.52,0.49,-0.11,0.9864,0.72,0
3207898,0.0521,-0.4495,-0.8765,0.56,0.49,-0.12,0.9864,0.75,0
3207908,0.0521,-0.4497,-0.8764,0.57,0.48,-0.07,0.9864,0.75,0
3207918,0.0502,-0.4489,-0.8771,0.60,0.50,-0.07,0.9865,0.79,0
3207928,0.0511,-0.4491,-0.8773,0.57,0.51,-0.11,0.9869,0.77,0
3207938,0.0513,-0.4486,-0.8766,0.57,0.52,-0.11,0.9861,0.78,0
3207948,0.0514,-0.4489,-0.8770,0.53,0.49,-0.15,0.9866,0.73,0
3207958,0.0515,-0.4486,-0.8774,0.49,0.51,-0.14,0.9868,0.72,0
3207968,0.0507,-0.4487,-0.8768,0.57,0.48,-0.07,0.9863,0.75,0
3207978,0.0516,-0.4491,-0.8767,0.58,0.48,-0.08,0.9864,0.76,0
3207988,0.0526,-0.4487,-0.8761,0.60,0.50,-0.09,0.9858,0.78,0
3207998,0.0520,-0.4486,-0.8766,0.60,0.52,-0.08,0.9861,0.79,0
